direct_change;old_path;old_line;old_col;old_name;new_path;new_line;new_col;new_name
True;libusb/os/linux_usbfs.c;1852;12;discard_urbs;libusb/os/linux_usbfs.c;1852;12;discard_urbs
True;libusb/core.c;664;25;discovered_devs_append;libusb/core.c;667;25;discovered_devs_append
True;libusb/core.c;1383;13;do_close;libusb/core.c;1386;13;do_close
True;libusb/os/linux_usbfs.c;306;12;get_kernel_version;libusb/os/linux_usbfs.c;306;12;get_kernel_version
True;libusb/os/linux_usbfs.c;2335;12;handle_bulk_completion;libusb/os/linux_usbfs.c;2335;12;handle_bulk_completion
True;libusb/os/linux_usbfs.c;2592;12;handle_control_completion;libusb/os/linux_usbfs.c;2592;12;handle_control_completion
True;libusb/io.c;2072;12;handle_event_trigger;libusb/io.c;2072;12;handle_event_trigger
True;libusb/io.c;2174;12;handle_events;libusb/io.c;2174;12;handle_events
True;libusb/os/linux_usbfs.c;2472;12;handle_iso_completion;libusb/os/linux_usbfs.c;2472;12;handle_iso_completion
True;libusb/os/linux_usbfs.c;1322;12;initialize_handle;libusb/os/linux_usbfs.c;1322;12;initialize_handle
True;libusb/core.c;1851;18;libusb_alloc_streams;libusb/core.c;1855;18;libusb_alloc_streams
True;libusb/io.c;1285;38;libusb_alloc_transfer;libusb/io.c;1285;38;libusb_alloc_transfer
True;libusb/core.c;2044;18;libusb_attach_kernel_driver;libusb/core.c;2048;18;libusb_attach_kernel_driver
True;libusb/io.c;1580;18;libusb_cancel_transfer;libusb/io.c;1579;18;libusb_cancel_transfer
True;libusb/core.c;1658;18;libusb_claim_interface;libusb/core.c;1662;18;libusb_claim_interface
True;libusb/core.c;1789;18;libusb_clear_halt;libusb/core.c;1793;18;libusb_clear_halt
True;libusb/core.c;1448;19;libusb_close;libusb/core.c;1451;19;libusb_close
True;libusb/core.c;2008;18;libusb_detach_kernel_driver;libusb/core.c;2012;18;libusb_detach_kernel_driver
True;libusb/io.c;1887;18;libusb_event_handler_active;libusb/io.c;1887;18;libusb_event_handler_active
True;libusb/io.c;1858;18;libusb_event_handling_ok;libusb/io.c;1858;18;libusb_event_handling_ok
True;libusb/core.c;2388;19;libusb_exit;libusb/core.c;2395;19;libusb_exit
True;libusb/core.c;1881;18;libusb_free_streams;libusb/core.c;1885;18;libusb_free_streams
True;libusb/io.c;1333;19;libusb_free_transfer;libusb/io.c;1332;19;libusb_free_transfer
True;libusb/descriptor.c;846;18;libusb_get_bos_descriptor;libusb/descriptor.c;846;18;libusb_get_bos_descriptor
True;libusb/descriptor.c;596;18;libusb_get_config_descriptor;libusb/descriptor.c;596;18;libusb_get_config_descriptor
True;libusb/descriptor.c;642;18;libusb_get_config_descriptor_by_value;libusb/descriptor.c;642;18;libusb_get_config_descriptor_by_value
True;libusb/core.c;1535;18;libusb_get_configuration;libusb/core.c;1538;18;libusb_get_configuration
True;libusb/descriptor.c;531;18;libusb_get_device_descriptor;libusb/descriptor.c;531;18;libusb_get_device_descriptor
True;libusb/core.c;812;22;libusb_get_device_list;libusb/core.c;815;22;libusb_get_device_list
True;libusb/io.c;2539;18;libusb_get_next_timeout;libusb/io.c;2539;18;libusb_get_next_timeout
True;libusb/io.c;2315;18;libusb_handle_events_timeout_completed;libusb/io.c;2315;18;libusb_handle_events_timeout_completed
True;libusb/hotplug.c;404;19;libusb_hotplug_deregister_callback;libusb/hotplug.c;404;19;libusb_hotplug_deregister_callback
True;libusb/hotplug.c;442;20;libusb_hotplug_get_user_data;libusb/hotplug.c;442;20;libusb_hotplug_get_user_data
True;libusb/hotplug.c;320;18;libusb_hotplug_register_callback;libusb/hotplug.c;320;18;libusb_hotplug_register_callback
True;libusb/core.c;2273;18;libusb_init;libusb/core.c;2277;18;libusb_init
True;libusb/io.c;1916;19;libusb_interrupt_event_handler;libusb/io.c;1916;19;libusb_interrupt_event_handler
True;libusb/core.c;1970;18;libusb_kernel_driver_active;libusb/core.c;1974;18;libusb_kernel_driver_active
True;libusb/core.c;1293;18;libusb_open;libusb/core.c;1296;18;libusb_open
True;libusb/core.c;1702;18;libusb_release_interface;libusb/core.c;1706;18;libusb_release_interface
True;libusb/core.c;1818;18;libusb_reset_device;libusb/core.c;1822;18;libusb_reset_device
True;libusb/core.c;1621;18;libusb_set_configuration;libusb/core.c;1625;18;libusb_set_configuration
True;libusb/core.c;1747;18;libusb_set_interface_alt_setting;libusb/core.c;1751;18;libusb_set_interface_alt_setting
True;libusb/io.c;1489;18;libusb_submit_transfer;libusb/io.c;1488;18;libusb_submit_transfer
True;libusb/io.c;1765;18;libusb_try_lock_events;libusb/io.c;1765;18;libusb_try_lock_events
True;libusb/core.c;1176;19;libusb_unref_device;libusb/core.c;1179;19;libusb_unref_device
True;libusb/core.c;1238;18;libusb_wrap_sys_device;libusb/core.c;1241;18;libusb_wrap_sys_device
True;libusb/os/linux_usbfs.c;1148;6;linux_device_disconnected;libusb/os/linux_usbfs.c;1148;6;linux_device_disconnected
True;libusb/os/linux_usbfs.c;1091;5;linux_enumerate_device;libusb/os/linux_usbfs.c;1091;5;linux_enumerate_device
True;libusb/os/linux_usbfs.c;585;5;linux_get_device_address;libusb/os/linux_usbfs.c;585;5;linux_get_device_address
True;libusb/os/linux_usbfs.c;1023;12;linux_get_parent_info;libusb/os/linux_usbfs.c;1023;12;linux_get_parent_info
True;libusb/os/linux_usbfs.c;352;12;op_init;libusb/os/linux_usbfs.c;352;12;op_init
True;libusb/os/linux_usbfs.c;1391;12;op_open;libusb/os/linux_usbfs.c;1391;12;op_open
True;libusb/os/linux_usbfs.c;437;12;op_set_option;libusb/os/linux_usbfs.c;437;12;op_set_option
True;libusb/os/linux_usbfs.c;1341;12;op_wrap_sys_device;libusb/os/linux_usbfs.c;1341;12;op_wrap_sys_device
True;libusb/descriptor.c;347;12;parse_configuration;libusb/descriptor.c;347;12;parse_configuration
True;libusb/descriptor.c;83;12;parse_endpoint;libusb/descriptor.c;83;12;parse_endpoint
True;libusb/os/linux_usbfs.c;2653;12;reap_for_handle;libusb/os/linux_usbfs.c;2653;12;reap_for_handle
True;libusb/os/linux_usbfs.c;1902;12;submit_bulk_transfer;libusb/os/linux_usbfs.c;1902;12;submit_bulk_transfer
True;libusb/os/linux_usbfs.c;2074;12;submit_iso_transfer;libusb/os/linux_usbfs.c;2074;12;submit_iso_transfer
True;libusb/sync.c;35;25;sync_transfer_cb;libusb/sync.c;35;25;sync_transfer_cb
True;libusb/os/linux_usbfs.c;1272;12;sysfs_get_device_list;libusb/os/linux_usbfs.c;1272;12;sysfs_get_device_list
True;libusb/os/linux_usbfs.c;1225;12;usbfs_get_device_list;libusb/os/linux_usbfs.c;1225;12;usbfs_get_device_list
True;libusb/os/linux_usbfs.c;1185;12;usbfs_scan_busdir;libusb/os/linux_usbfs.c;1185;12;usbfs_scan_busdir
True;libusb/io.c;2648;5;usbi_add_event_source;libusb/io.c;2648;5;usbi_add_event_source
True;libusb/io.c;2780;6;usbi_handle_disconnect;libusb/io.c;2780;6;usbi_handle_disconnect
True;libusb/io.c;1706;5;usbi_handle_transfer_cancellation;libusb/io.c;1706;5;usbi_handle_transfer_cancellation
True;libusb/io.c;1658;5;usbi_handle_transfer_completion;libusb/io.c;1657;5;usbi_handle_transfer_completion
True;libusb/hotplug.c;271;6;usbi_hotplug_process;libusb/hotplug.c;271;6;usbi_hotplug_process
True;libusb/io.c;2672;6;usbi_remove_event_source;libusb/io.c;2672;6;usbi_remove_event_source
True;libusb/core.c;750;5;usbi_sanitize_device;libusb/core.c;753;5;usbi_sanitize_device
True;libusb/os/events_posix.c;218;5;usbi_wait_for_events;libusb/os/events_posix.c;218;5;usbi_wait_for_events
